,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,learning_rate,max_features,n_estimators,n_neighbors,priors,weights
172,BAG,0.6477987421383649,0.6790987529788316,0.7023809523809523,0.02299301914258849,,,,,0.2,15,,,
85,RF,0.6295081967213114,0.6637880395257444,0.7015384615384616,0.029508455877797976,,,,,,30,,,
175,BAG,0.6873065015479877,0.6921420502640826,0.697530864197531,0.00419237201735835,,,,,0.2,30,,,
87,RF,0.618421052631579,0.6666333748054805,0.6918238993710691,0.03410275503243939,,,,,,100,,,
180,BAG,0.6188925081433225,0.6673581440685833,0.6918238993710691,0.034270907575125985,,,,,0.1,20,,,
98,GB,0.6793650793650794,0.6841167923171225,0.68944099378882,0.004133345714832613,,,,0.1,log2,50,,,
86,RF,0.6384364820846905,0.6599384097079383,0.6855345911949685,0.019444453475935597,,,,,,60,,,
182,BAG,0.6687898089171974,0.6751865429646166,0.6815286624203822,0.005200758547822113,,,,,0.1,30,,,
97,GB,0.618421052631579,0.6445649782764121,0.6771159874608151,0.0243866340887017,,,,0.1,log2,40,,,
83,RF,0.6013071895424836,0.6353210199959426,0.6730769230769231,0.029419109362944656,,,,,,20,,,
90,GB,0.5993265993265994,0.6384579885328491,0.6708860759493671,0.029596062404699197,,,,0.1,sqrt,30,,,
179,BAG,0.6518987341772152,0.6568294630938768,0.6625386996904026,0.004378490773935667,,,,,0.1,15,,,
81,RF,0.6013513513513513,0.619222017048104,0.6476190476190475,0.02030235121980371,,,,,,10,,,
10,NN,0.5980066445182725,0.6209508561531072,0.6325878594249201,0.016224566287547443,,,,,,,50,,distance
178,BAG,0.5666666666666667,0.5910646714826281,0.6078431372549019,0.017652543989553113,,,,,0.1,10,,,
9,NN,0.5838926174496644,0.5928735244811155,0.5980066445182725,0.006372102666490643,,,,,,,50,,uniform
48,SVC,0.5517241379310345,0.5721642342331997,0.589010989010989,0.015432895458463186,1,0.0001,rbf,,,,,,
96,GB,0.5505226480836237,0.5683044623151173,0.5878378378378378,0.015284127318145978,,,,0.1,log2,30,,,
142,NB,0.5517241379310345,0.5668676495715358,0.5876543209876544,0.015201501084002913,,,,,,,,,
56,SVC,0.5603644646924829,0.5741851002813106,0.5864332603938731,0.010700468421921116,10,1e-05,rbf,,,,,,
80,SVC,0.5603644646924829,0.5731517912611307,0.5833333333333333,0.009556317850566879,10000.0,1e-08,rbf,,,,,,
